name,location,price,rating,distance,comment
沃客商旅 - 成功館,"三重, 台北","TWD 1,269",7.3,距中心 3 公里,好
窩旅舍,"信義區, 台北",TWD 639,7.9,距中心 4.4 公里,好
沃客商旅 - 三重館,"三重, 台北","TWD 1,176",7.2,距中心 3 公里,好
台北馥敦飯店復南館,"大安區, 台北","TWD 5,236",8.3,距中心 3.1 公里,非常好
建山大旅社,"大同區, 台北","TWD 1,580",8.7,距中心 1.4 公里,很棒
唯樂米窩,"萬華區, 台北","TWD 2,169",7.6,距中心 1.4 公里,好
新凱商務飯店,"中山區, 台北","TWD 1,692",8.5,距中心 2.5 公里,非常好
旅樂序精品旅館站前五館,"中正區, 台北","TWD 3,042",8.4,距中心 450 公尺,非常好
華大旅店-南西館,"大同區, 台北","TWD 1,395",7.8,距中心 1 公里,好
Wonderwall美好境界西門館,"萬華區, 台北","TWD 1,596",8.6,距中心 1.1 公里,很棒
甄美精品商旅-無人自動入住旅店,"中山區, 台北","TWD 1,674",8.0,距中心 1.3 公里,非常好
上格大飯店,"三重, 台北","TWD 1,432",7.3,距中心 3 公里,好
苓旅中山館-Lininn ZhongShan,"中山區, 台北","TWD 3,380",8.6,距中心 2.4 公里,很棒
葛瑞絲商旅敦北館,"松山區, 台北","TWD 2,610",8.6,距中心 3.4 公里,很棒
喜客商旅 Seeker Hotel - Sanchong,"三重, 台北","TWD 1,821",7.5,距中心 3.6 公里,好
日月星商旅,"士林區, 台北","TWD 1,800",7.2,距中心 4.4 公里,好
新舍商旅林森館,"中山區, 台北","TWD 1,982",8.2,距中心 1.8 公里,非常好
新獅城商務旅店,"大同區, 台北","TWD 1,300",6.8,距中心 500 公尺,評分
趣旅館．林森館,"中山區, 台北","TWD 2,085",8.1,距中心 1.9 公里,非常好
V-one - 寧夏2號旅店,"大同區, 台北","TWD 1,800",8.1,距中心 1 公里,非常好
瘋台北青旅 Fun Inn Taipei Hostel,"中正區, 台北",TWD 810,7.5,距中心 0.7 公里,好
皇家玫瑰旅館新生館,"大安區, 台北","TWD 2,800",8.6,距中心 1.9 公里,很棒
探索汽車旅館-延平舘,"士林區, 台北","TWD 2,300",7.4,距中心 3.8 公里,好
睡覺盒子青年旅館,"中正區, 台北",TWD 990,7.2,距中心 0.7 公里,好
背包棧旅店-台北長春館,"中山區, 台北",TWD 900,8.0,距中心 2.3 公里,非常好
華達大飯店,"中正區, 台北","TWD 1,160",6.6,距中心 450 公尺,評分
第一大飯店,"中山區, 台北","TWD 1,900",7.1,距中心 1.4 公里,好
綠映旅舍,"三重, 台北","TWD 1,668",6.6,距中心 2.9 公里,評分
凱微精品旅館,"中山區, 台北","TWD 1,800",7.1,距中心 1.6 公里,好
慶爾喜無人自動入住旅店,"萬華區, 台北","TWD 1,094",6.3,距中心 1.2 公里,評分
安和精品商務旅館,"大安區, 台北","TWD 2,080",7.6,距中心 3.8 公里,好
卡夫人背包客棧 台北車站青年館,"中正區, 台北",TWD 999,7.4,距中心 350 公尺,好
米尼旅店,"中正區, 台北",TWD 867,8.5,距中心 150 公尺,非常好
Sunrise Hotel,"信義區, 台北","TWD 2,980",7.8,距中心 5 公里,好
台北W 酒店,"信義區, 台北","TWD 13,500",8.6,距中心 4.9 公里,很棒
美福大飯店,"中山區, 台北","TWD 7,221",9.3,距中心 5.2 公里,好極了
台北新月商旅,"中山區, 台北","TWD 1,600",7.1,距中心 1.1 公里,好
皇后旅店二館,"大同區, 台北","TWD 1,980",8.1,距中心 1 公里,非常好
沃客汽車旅館,"北投區, 台北","TWD 1,968",7.4,距中心 7.8 公里,好
台北中山旅居文旅-松山機場館,"中山區, 台北","TWD 2,480",8.3,距中心 2.8 公里,非常好
上賓大飯店,"中山區, 台北","TWD 1,780",7.4,距中心 1.8 公里,好
沃客商旅 承德館,"北投區, 台北","TWD 2,064",7.3,距中心 7.8 公里,好
台北凱達大飯店,"萬華區, 台北","TWD 4,000",8.3,距中心 2.3 公里,非常好
悅心旅,"大同區, 台北","TWD 2,567",8.6,距中心 0.7 公里,很棒
日星商旅,"萬華區, 台北","TWD 2,250",7.6,距中心 1.4 公里,好
西門邑居會館,"萬華區, 台北","TWD 1,286",5.9,距中心 1.1 公里,評分
盤古捷旅 - Panco Hotel,"中山區, 台北","TWD 2,400",8.7,距中心 0.9 公里,很棒
旅居文旅板橋驛站-亞東館,"板橋, 台北","TWD 1,380",7.9,距中心 8 公里,好
皇家玫瑰旅館雙城館,"中山區, 台北","TWD 3,000",8.3,距中心 2.3 公里,非常好
台北北門世民酒店,"西門町, 台北","TWD 5,000",8.7,距中心 0.7 公里,很棒
薇閣精品旅館 - 大直旗艦館,"中山區, 台北","TWD 2,755",8.0,距中心 5.7 公里,非常好
日光樂居西門館 Fun Stay Inn Ximen,"萬華區, 台北","TWD 2,327",8.0,距中心 1.2 公里,非常好
台北馥華商旅 松江館,"中山區, 台北","TWD 3,199",8.4,距中心 1.5 公里,非常好
葳皇時尚飯店,"大同區, 台北","TWD 2,080",8.2,距中心 1.6 公里,非常好
南陽街壹號旅店,"中正區, 台北","TWD 2,160",8.1,距中心 150 公尺,非常好
藝築文旅 - 開封舘,"萬華區, 台北","TWD 1,200",7.0,距中心 1.2 公里,好
苓旅-站前 Lin Inn TMS,"中正區, 台北","TWD 4,280",8.1,距中心 350 公尺,非常好
北行旅,"中正區, 台北","TWD 3,368",8.0,距中心 0.6 公里,非常好
苓旅萬年-LIN INN Wan Nian,"萬華區, 台北","TWD 2,380",8.0,距中心 1.2 公里,非常好
家賓旅店,"文山區, 台北","TWD 1,980",7.8,距中心 6.5 公里,好
I Play Inn TP,"萬華區, 台北","TWD 1,674",7.9,距中心 1.1 公里,好
台北漢普頓酒店,"中山區, 台北","TWD 4,150",8.7,距中心 2.1 公里,很棒
雀客旅館台北信義,"信義區, 台北","TWD 3,177",7.8,距中心 4.4 公里,好
雀客藏居新北三重水漾,"三重, 台北","TWD 2,824",8.5,距中心 3.6 公里,非常好
旅居文旅-板橋車站館,"板橋, 台北","TWD 1,480",8.1,距中心 6.9 公里,非常好
台北薇米商旅,"三重, 台北","TWD 1,575",7.6,距中心 2.7 公里,好
久居棧旅店,"大同區, 台北","TWD 1,650",7.7,距中心 1.9 公里,好
T.O. Hotel 承德館,"大同區, 台北","TWD 1,680",7.4,距中心 1 公里,好
嘉年華汽車旅館,"蘆洲, 台北","TWD 1,300",7.0,距中心 5.5 公里,好
懂你旅宿,"士林區, 台北","TWD 1,792",8.0,距中心 4.7 公里,非常好
正旅館,"中正區, 台北","TWD 1,975",8.0,距中心 450 公尺,非常好
品格子旅店- 西門館,"萬華區, 台北","TWD 1,485",7.5,距中心 1.1 公里,好
水滴米窩,"中正區, 台北","TWD 1,517",7.9,距中心 200 公尺,好
品格子旅店北車館,"中正區, 台北","TWD 1,620",7.6,距中心 100 公尺,好
101艾美琪旅店六星級背包客,"大安區, 台北","TWD 2,756",7.4,距中心 2.6 公里,好
Gugis Inn,"萬華區, 台北","TWD 2,411",6.5,距中心 1 公里,評分
晶華酒店,"中山區, 台北","TWD 9,240",8.7,距中心 1.1 公里,很棒
薇閣旅館-林森館,"中山區, 台北","TWD 2,900",8.3,距中心 1.8 公里,非常好
台北大倉久和大飯店,"中山區, 台北","TWD 5,554",8.9,距中心 0.9 公里,很棒
艾捷天麗,"松山區, 台北","TWD 2,400",8.1,距中心 3.9 公里,非常好
探索汽車旅館-南港館,"南港區, 台北","TWD 2,122",6.8,距中心 8.1 公里,評分
五月家北車館,"中正區, 台北","TWD 1,920",8.2,距中心 0.7 公里,非常好
優美飯店-雙連MRT,"中山區, 台北","TWD 2,422",8.1,距中心 1.4 公里,非常好
城市商旅站前館,"大同區, 台北","TWD 3,648",8.5,距中心 0.8 公里,非常好
貴族商務飯店,"士林區, 台北","TWD 2,070",7.9,距中心 7.1 公里,好
紫虹汽車旅館,"蘆洲, 台北","TWD 1,900",7.6,距中心 7.2 公里,好
台北互舍酒店 - 試營運,"大同區, 台北","TWD 3,510",8.1,距中心 1.6 公里,非常好
小隱居Hermit_Dorm,"松山區, 台北","TWD 3,100",9.2,距中心 5.3 公里,好極了
西門窩青年旅館,"萬華區, 台北","TWD 1,167",7.6,距中心 1.1 公里,好
台灣柒天精品旅店,"萬華區, 台北","TWD 1,508",7.6,距中心 3.1 公里,好
紅菱閣旅店,"萬華區, 台北","TWD 1,580",7.5,距中心 1.4 公里,好
君品酒店,"大同區, 台北","TWD 6,292",8.5,距中心 300 公尺,非常好
上華旅館,"中山區, 台北","TWD 1,700",7.9,距中心 2 公里,好
救國團劍潭海外青年活動中心,"士林區, 台北","TWD 2,576",8.0,距中心 3.6 公里,非常好
雅莊商務旅館,"中山區, 台北","TWD 1,780",8.0,距中心 3.3 公里,非常好
馥麗精品旅館,"內湖區, 台北","TWD 2,080",7.9,距中心 6.5 公里,好
台北遠東香格里拉,"大安區, 台北","TWD 9,009",8.6,距中心 3.9 公里,很棒
璞漣商務旅館台北車站館,"大同區, 台北","TWD 2,700",8.2,距中心 500 公尺,非常好
沃客商旅西門館,"萬華區, 台北","TWD 2,476",7.4,距中心 1 公里,好
皇家玫瑰旅館林森館,"中山區, 台北","TWD 2,200",8.0,距中心 1 公里,非常好
